CTUID,GEOGRAPHY,CMANAME,PRNAME,POP_PERC_CHANGE,POP_DENSITY_KM2,PERC_POP_OVER_15,MEDIAN_AGE,YEAR,Population,Participation,UNEMPLOYMENT,COMMUTE_TRANSIT,COMMUTE_WALK,COMMUTE_CYCLE,COMMUTE_TIME,NO_EDU,HIGHSCHOOL,UNIVERSITY,COMMUTE_CAR,COLLEGE,MARRIED_COMMON,NOT_MARRIED,CHILDREN,CHILDREN_AVG,SINGLE_DETACHED,APARTMENT_5_GREATER,MOBILE_HOME,SEMI_DET,ROW_HOUSE,APARTMENT1,APARTMENT_5_LESS,PPL_IN_HOUSEHOLD,ENGLISH,FRENCH,ABORIGINAL,OTHER_LANG,INTERNAL_MIGRANTS,EXTERNAL_MIGRANTS,NORTH_AMERICAN_ABORIGINAL,CDN_CITIZEN,NOT_CITIZEN,NON_IMMIGRANTS,IMMIGRANTS,NOT_A_VISI,VISIBLE_MINORITY,CHINESE,BLACK,SOUTH_ASIA,LATIN_AMER,FILIPINO,ARAB,SOUTHEAST_ASIAN,WEST_ASIAN,KOREAN,JAPANESE,BUDDHIST,CHRISTIAN,HINDU,JEWISH,MUSLIM,SIKH,ABORIGINAL_REL,NO_REL
6020048.00,6020048.00,Winnipeg,Manitoba,10.7,4644.3,80,36.7,2011,5034,73.1,6.5,465,65,30,20.4,1220,1185,660,2070,1020,2020,2010,1785,1.4,1735,0,0,25,10,55,10,2.7,3065,40,40,1600,55,150,545,4235,795,3330,1695,3050,1980,0,65,0,0,1675,0,155,0,0,0,80,3670,0,40,0,0,0,1235
5350612.13,5350612.13,Toronto,Ontario,-3.1,3234.2,85.9,44.1,2011,3924,66.5,9.2,265,40,10,25.3,350,860,1950,1445,650,2020,1350,1415,1.3,850,140,0,0,65,5,345,2.8,2905,85,0,880,80,25,35,3745,180,2835,1060,3485,445,60,50,125,30,45,0,0,45,25,0,0,2880,40,50,100,0,0,850
5210015.00,5210015.00,Kingston,Ontario,-4,1915.3,87.4,47.1,2011,3142,55,5.5,35,45,0,15.2,500,600,1145,1280,965,1545,1200,815,0.9,840,130,0,55,215,40,70,2.3,2575,65,0,420,55,0,80,3180,40,2660,550,3045,170,50,0,40,65,0,0,0,0,0,0,0,2280,20,35,0,0,0,870
5550100.01,5550100.01,London,Ontario,6.3,32.3,79.5,41.8,2011,4985,70,4.7,0,50,0,20.6,715,1180,945,2315,1350,2795,1165,1720,1.2,1540,0,145,5,40,5,10,2.8,4320,45,0,600,225,15,80,4915,70,4375,600,4925,55,0,20,30,0,0,0,0,0,0,0,0,3785,0,0,0,0,0,1150
5350400.08,5350400.08,Toronto,Ontario,3.7,1582.6,88,49.3,2011,2771,56.4,6.4,155,30,0,30,475,775,990,990,520,1260,1175,700,1,525,450,0,95,40,70,120,2.1,1940,30,0,725,70,30,15,2620,180,1775,1020,2075,725,335,50,150,55,0,35,0,30,0,0,55,1955,45,15,45,0,0,655
4210311.01,4210311.01,Québec,Quebec / Québec,-5.4,1886.4,91.6,50.8,2011,6469,58.9,6.7,510,155,25,15.7,1475,1205,1150,2305,1975,2600,3335,1075,0.7,425,125,0,60,25,455,2495,1.7,65,5975,0,130,80,0,85,6040,115,5785,365,5815,345,15,160,0,95,0,55,0,0,0,0,15,5540,0,20,60,0,0,530
4620694.00,4620694.00,Montréal,Quebec / Québec,32.1,183.4,79.4,34.6,2011,6039,76.4,6.5,65,205,0,30.2,1345,1120,675,2915,1760,3220,1575,2020,1.1,1705,0,35,275,110,50,30,2.7,50,5785,5,155,435,0,215,5960,45,5780,220,5730,275,0,85,0,120,0,70,0,0,0,0,0,5300,0,0,65,0,0,630
4210007.00,4210007.00,Québec,Quebec / Québec,0.3,6765.7,92.2,44.4,2011,2278,59.6,9.4,240,210,40,15.9,400,590,520,470,465,715,1380,325,0.7,40,150,0,10,0,235,815,1.6,25,2050,0,115,75,0,100,2030,35,1990,70,1980,90,0,55,0,30,0,0,0,0,0,0,0,1705,0,0,0,0,0,355
5410001.03,5410001.03,Kitchener - Cambridge - Waterloo,Ontario,-1.4,1476.9,82.4,39.3,2011,4166,75.8,5.1,90,35,0,16.3,680,925,860,2140,1045,2205,1225,1475,1.2,1020,0,0,220,130,55,5,2.9,3435,50,0,630,175,0,160,4035,170,3465,740,3810,395,35,105,25,90,0,35,0,50,0,0,0,3040,0,30,135,0,0,1020
5350221.02,5350221.02,Toronto,Ontario,3.2,5435.3,82.3,39.2,2011,4376,67.1,13.3,550,95,25,30,685,905,1100,1175,845,1845,1760,1500,1.3,445,1055,0,0,0,15,55,2.7,1855,45,0,2105,110,70,45,3420,730,2110,2015,2715,1435,135,145,465,65,315,45,0,145,80,0,25,2485,170,35,575,0,0,865
