GEOGRAPHY,TOTAL_MOBI,NON_MOVERS,MOVERS,NON_MIGRAN,MIGRANTS,INTERNAL_M,INTRAPROVI,INTERPROVI,EXTERNAL_M,TOTAL_MOB1,NON_MOVER1,MOVERS1,NON_MIGRA1,MIGRANTS1,INTERNAL_1,INTRAPROV1,INTERPROV1,EXTERNAL_1
0010002.00,4445,3855,590,350,235,215,195,0,0,4290,2685,1605,1010,600,500,275,225,95
0010003.01,4270,3875,400,285,115,75,40,30,45,4165,2850,1320,935,390,325,140,190,60
0010003.02,4905,4415,485,425,65,65,35,30,0,4770,3035,1735,1320,420,400,225,175,15
0010004.00,7465,6045,1420,995,425,385,275,110,45,7140,3625,3515,1695,1815,1645,1020,620,175
0010005.01,2460,2110,355,230,120,110,0,0,0,2415,1545,875,510,365,335,245,85,30
0010005.02,3340,2635,705,515,190,190,145,45,0,3215,1760,1455,775,680,645,345,295,40
0010006.00,2940,2480,460,255,210,150,25,120,60,2890,1520,1370,845,520,425,155,270,105
0010008.00,1450,1190,255,220,45,35,0,35,0,1415,885,525,245,280,250,95,160,25
0010009.00,490,415,70,0,0,0,0,0,0,470,255,215,175,40,40,0,0,0
0010010.00,1475,1220,255,165,90,65,35,35,25,1450,665,785,280,510,395,170,225,115
0010011.00,2545,2040,505,350,150,90,65,25,65,2480,1320,1165,635,535,425,210,220,110
0010012.00,2745,2080,675,355,315,180,145,0,135,2660,1445,1215,325,895,565,390,180,330
0010013.00,1680,1485,190,105,90,55,45,0,30,1650,1125,525,205,320,160,90,75,160
0010014.00,3080,2860,220,95,125,60,30,35,65,2960,2195,765,415,355,270,95,170,80
0010015.01,4205,3790,415,255,160,115,70,40,0,4100,2535,1565,1065,500,385,195,190,110
0010015.02,3710,3175,535,385,150,135,40,95,15,3635,2210,1425,875,550,490,170,325,60
0010015.03,4850,4225,630,360,265,245,135,110,25,4715,3045,1670,1100,570,520,280,235,50
0010015.04,5980,5415,565,330,235,210,90,115,25,5715,4250,1465,905,560,505,275,235,50
0010016.01,4265,3585,680,370,310,300,190,110,0,3890,1885,2005,1190,815,705,360,345,110
0010016.02,5135,4145,985,540,445,405,245,160,35,5055,2505,2555,965,1590,1290,720,570,295
0010017.00,3370,2915,460,250,205,210,90,120,0,3200,955,2245,1235,1010,975,475,500,30
0010100.01,5275,4535,740,510,230,215,165,45,20,5035,3235,1805,1270,540,530,345,185,0
0010100.04,3970,3855,115,90,30,30,25,0,0,3710,2760,955,690,265,265,205,55,0
0010170.01,3035,2865,165,135,30,30,20,0,0,2880,2080,810,480,325,315,155,160,0
0010170.02,4205,3925,280,185,90,85,45,35,0,4120,2835,1285,705,575,570,290,275,0
0010171.00,4395,3970,425,235,185,185,155,30,0,4230,3175,1055,535,525,515,355,155,0
0010172.02,6075,5505,575,230,345,335,225,105,0,5870,4125,1740,1040,700,670,410,260,0
0010172.03,2175,1875,295,225,65,65,35,0,0,2085,1525,565,270,290,290,260,30,0
0010172.04,4450,4015,440,250,190,190,180,0,0,4245,2455,1790,905,890,830,685,145,60
0010172.05,5355,4995,355,195,165,160,80,75,0,5220,3660,1560,625,935,880,595,285,55
0010172.06,2050,1980,70,0,50,50,50,0,0,1980,1590,390,210,185,185,135,55,0
0010200.01,4535,4115,415,295,120,120,85,30,0,4280,2370,1910,1120,790,735,465,270,55
0010200.02,8460,7720,740,410,325,310,250,65,15,7845,5270,2575,915,1660,1575,1040,535,85
0010200.03,3690,3490,200,40,155,155,115,40,0,3480,2705,780,300,475,465,305,165,0
0010201.00,2885,2660,220,85,140,145,120,25,0,2655,1860,800,155,645,640,325,315,0
0010202.01,1585,1075,510,295,215,215,180,35,0,1495,235,1260,570,690,670,565,105,20
0010202.02,3180,2655,530,150,380,370,295,80,0,3065,2070,990,395,600,575,425,145,20
0010202.04,7950,6790,1165,430,735,725,565,160,0,7405,4025,3380,1355,2025,1945,1570,370,75
0010202.05,9340,7980,1365,520,840,820,715,105,0,8675,4865,3810,1585,2225,2185,1595,595,40
0010300.00,7555,7005,555,295,255,240,235,0,0,7255,5435,1820,660,1160,1105,815,290,55
0010301.01,6430,5715,710,365,345,340,260,75,0,6070,3785,2285,1025,1260,1235,775,460,20
0010301.02,6100,5430,670,235,430,435,390,40,0,5625,3330,2295,1005,1285,1260,705,555,30
0010302.00,4135,3680,455,215,240,240,200,40,0,3990,2510,1480,720,755,745,400,345,0
2050001.00,3870,3425,445,350,100,95,70,30,0,3590,2285,1310,1095,215,180,55,125,30
